"","GEOID","NAME","variable","estimate","moe"
"2850","51061","Fauquier County, Virginia","B15003_022",10212,576
"2851","51063","Floyd County, Virginia","B15003_022",1388,272
"2852","51065","Fluvanna County, Virginia","B15003_022",3411,467
"2853","51067","Franklin County, Virginia","B15003_022",5050,537
"2854","51069","Frederick County, Virginia","B15003_022",9691,658
"2855","51071","Giles County, Virginia","B15003_022",1219,174
"2856","51073","Gloucester County, Virginia","B15003_022",3842,394
"2857","51075","Goochland County, Virginia","B15003_022",4080,369
"2858","51077","Grayson County, Virginia","B15003_022",1139,210
"2859","51079","Greene County, Virginia","B15003_022",2023,299
"2860","51081","Greensville County, Virginia","B15003_022",389,100
"2861","51083","Halifax County, Virginia","B15003_022",2529,296
"2862","51085","Hanover County, Virginia","B15003_022",17767,698
"2863","51087","Henrico County, Virginia","B15003_022",57871,1688
"2864","51089","Henry County, Virginia","B15003_022",3045,414
"2865","51091","Highland County, Virginia","B15003_022",275,75
"2866","51093","Isle of Wight County, Virginia","B15003_022",4162,371
"2867","51095","James City County, Virginia","B15003_022",13799,683
"2868","51097","King and Queen County, Virginia","B15003_022",583,169
"2869","51099","King George County, Virginia","B15003_022",3632,341
"2870","51101","King William County, Virginia","B15003_022",1554,185
"2871","51103","Lancaster County, Virginia","B15003_022",1325,175
"2872","51105","Lee County, Virginia","B15003_022",1311,256
"2873","51107","Loudoun County, Virginia","B15003_022",84709,1767
"2874","51109","Louisa County, Virginia","B15003_022",3537,489
"2875","51111","Lunenburg County, Virginia","B15003_022",704,150
"2876","51113","Madison County, Virginia","B15003_022",1549,233
"2877","51115","Mathews County, Virginia","B15003_022",1199,270
"2878","51117","Mecklenburg County, Virginia","B15003_022",2727,323
"2879","51119","Middlesex County, Virginia","B15003_022",1117,192
"2880","51121","Montgomery County, Virginia","B15003_022",12139,837
"2881","51125","Nelson County, Virginia","B15003_022",1752,315
"2882","51127","New Kent County, Virginia","B15003_022",2467,323
"2883","51131","Northampton County, Virginia","B15003_022",1252,195
"2884","51133","Northumberland County, Virginia","B15003_022",1537,267
"2885","51135","Nottoway County, Virginia","B15003_022",965,219
