"","GEOID","NAME","variable","estimate","moe"
"295","08099","Prowers County, Colorado","B19013_001",41740,2550
"296","08101","Pueblo County, Colorado","B19013_001",42386,1201
"297","08103","Rio Blanco County, Colorado","B19013_001",57991,8135
"298","08105","Rio Grande County, Colorado","B19013_001",38534,3781
"299","08107","Routt County, Colorado","B19013_001",67472,4036
"300","08109","Saguache County, Colorado","B19013_001",34765,4061
"301","08111","San Juan County, Colorado","B19013_001",46397,6858
"302","08113","San Miguel County, Colorado","B19013_001",62243,4055
"303","08115","Sedgwick County, Colorado","B19013_001",49583,4753
"304","08117","Summit County, Colorado","B19013_001",73538,3671
"305","08119","Teller County, Colorado","B19013_001",66809,3624
"306","08121","Washington County, Colorado","B19013_001",51458,5812
"307","08123","Weld County, Colorado","B19013_001",66489,1582
"308","08125","Yuma County, Colorado","B19013_001",44668,2373
"309","09001","Fairfield County, Connecticut","B19013_001",89773,1202
"310","09003","Hartford County, Connecticut","B19013_001",69936,847
"311","09005","Litchfield County, Connecticut","B19013_001",76438,1577
"312","09007","Middlesex County, Connecticut","B19013_001",81673,1923
"313","09009","New Haven County, Connecticut","B19013_001",64872,827
"314","09011","New London County, Connecticut","B19013_001",69411,1516
"315","09013","Tolland County, Connecticut","B19013_001",81312,1632
"316","09015","Windham County, Connecticut","B19013_001",62553,1889
"317","10001","Kent County, Delaware","B19013_001",57647,1456
"318","10003","New Castle County, Delaware","B19013_001",68336,1106
"319","10005","Sussex County, Delaware","B19013_001",57901,1291
"320","11001","District of Columbia, District of Columbia","B19013_001",77649,1075
"321","12001","Alachua County, Florida","B19013_001",45478,1546
"322","12003","Baker County, Florida","B19013_001",59506,4489
"323","12005","Bay County, Florida","B19013_001",50283,1571
"324","12007","Bradford County, Florida","B19013_001",46106,5357
"325","12009","Brevard County, Florida","B19013_001",51536,616
"326","12011","Broward County, Florida","B19013_001",54895,644
"327","12013","Calhoun County, Florida","B19013_001",36237,2312
"328","12015","Charlotte County, Florida","B19013_001",46511,1143
"329","12017","Citrus County, Florida","B19013_001",40574,1147
"330","12019","Clay County, Florida","B19013_001",61971,1829
"331","12021","Collier County, Florida","B19013_001",62407,1257
"332","12023","Columbia County, Florida","B19013_001",43504,2151
"333","12027","DeSoto County, Florida","B19013_001",35435,1717
"334","12029","Dixie County, Florida","B19013_001",35910,3084
"335","12031","Duval County, Florida","B19013_001",51296,541
"336","12033","Escambia County, Florida","B19013_001",47361,949
"337","12035","Flagler County, Florida","B19013_001",51049,1256
"338","12037","Franklin County, Florida","B19013_001",41267,3706
"339","12039","Gadsden County, Florida","B19013_001",39830,2043
"340","12041","Gilchrist County, Florida","B19013_001",42934,3874
"341","12043","Glades County, Florida","B19013_001",37385,4329
"342","12045","Gulf County, Florida","B19013_001",44647,3144
"343","12047","Hamilton County, Florida","B19013_001",36209,4821
"344","12049","Hardee County, Florida","B19013_001",39063,3047
"345","12051","Hendry County, Florida","B19013_001",37966,2224
"346","12053","Hernando County, Florida","B19013_001",44324,1044
"347","12055","Highlands County, Florida","B19013_001",36374,1135
"348","12057","Hillsborough County, Florida","B19013_001",53742,533
"349","12059","Holmes County, Florida","B19013_001",37474,4051
"350","12061","Indian River County, Florida","B19013_001",49009,1267
"351","12063","Jackson County, Florida","B19013_001",36944,1427
"352","12065","Jefferson County, Florida","B19013_001",47599,6872
"353","12067","Lafayette County, Florida","B19013_001",41512,9747
"354","12069","Lake County, Florida","B19013_001",49734,1173
"355","12071","Lee County, Florida","B19013_001",52052,572
"356","12073","Leon County, Florida","B19013_001",49941,922
"357","12075","Levy County, Florida","B19013_001",36554,1796
"358","12077","Liberty County, Florida","B19013_001",36741,3554
"359","12079","Madison County, Florida","B19013_001",31816,2625
"360","12081","Manatee County, Florida","B19013_001",53408,1088
"361","12083","Marion County, Florida","B19013_001",41964,878
"362","12085","Martin County, Florida","B19013_001",55588,1532
"363","12086","Miami-Dade County, Florida","B19013_001",46338,365
"364","12087","Monroe County, Florida","B19013_001",63030,1692
"365","12089","Nassau County, Florida","B19013_001",64294,2019
"366","12091","Okaloosa County, Florida","B19013_001",59955,1565
"367","12093","Okeechobee County, Florida","B19013_001",39059,1686
"368","12095","Orange County, Florida","B19013_001",51586,483
"369","12097","Osceola County, Florida","B19013_001",47343,1259
"370","12099","Palm Beach County, Florida","B19013_001",57256,535
"371","12101","Pasco County, Florida","B19013_001",48289,813
"372","12103","Pinellas County, Florida","B19013_001",48968,679
"373","12105","Polk County, Florida","B19013_001",45988,753
"374","12107","Putnam County, Florida","B19013_001",33619,1120
"375","12109","St. Johns County, Florida","B19013_001",73640,2446
"376","12111","St. Lucie County, Florida","B19013_001",47132,1477
"377","12113","Santa Rosa County, Florida","B19013_001",62731,1578
"378","12115","Sarasota County, Florida","B19013_001",55236,1026
"379","12117","Seminole County, Florida","B19013_001",60739,1116
"380","12119","Sumter County, Florida","B19013_001",54771,2856
"381","12121","Suwannee County, Florida","B19013_001",40600,3543
"382","12123","Taylor County, Florida","B19013_001",37188,4545
"383","12125","Union County, Florida","B19013_001",37460,6004
"384","12127","Volusia County, Florida","B19013_001",43838,781
"385","12129","Wakulla County, Florida","B19013_001",57866,4026
"386","12131","Walton County, Florida","B19013_001",50619,1771
"387","12133","Washington County, Florida","B19013_001",36989,3048
"388","13001","Appling County, Georgia","B19013_001",37089,3056
"389","13003","Atkinson County, Georgia","B19013_001",33063,1483
"390","13005","Bacon County, Georgia","B19013_001",38824,3793
"391","13007","Baker County, Georgia","B19013_001",43867,6318
"392","13009","Baldwin County, Georgia","B19013_001",37008,2546
"393","13011","Banks County, Georgia","B19013_001",42182,3151
"394","13013","Barrow County, Georgia","B19013_001",56119,2078
"395","13015","Bartow County, Georgia","B19013_001",52393,2222
"396","13017","Ben Hill County, Georgia","B19013_001",32344,2976
"397","13019","Berrien County, Georgia","B19013_001",38297,3248
"398","13021","Bibb County, Georgia","B19013_001",38183,1684
"399","13023","Bleckley County, Georgia","B19013_001",40688,3305
"400","13025","Brantley County, Georgia","B19013_001",36812,3685
"401","13027","Brooks County, Georgia","B19013_001",34890,5889
"402","13029","Bryan County, Georgia","B19013_001",68589,5815
"403","13031","Bulloch County, Georgia","B19013_001",39305,2425
"404","13033","Burke County, Georgia","B19013_001",38707,5008
"405","13035","Butts County, Georgia","B19013_001",39655,2735
"406","13037","Calhoun County, Georgia","B19013_001",29617,2794
"407","13039","Camden County, Georgia","B19013_001",53687,1418
"408","13043","Candler County, Georgia","B19013_001",33125,4183
"409","13045","Carroll County, Georgia","B19013_001",46844,1697
"410","13047","Catoosa County, Georgia","B19013_001",54537,1845
"411","13049","Charlton County, Georgia","B19013_001",43257,6511
"412","13051","Chatham County, Georgia","B19013_001",52215,1310
"413","13053","Chattahoochee County, Georgia","B19013_001",46096,6130
"414","13055","Chattooga County, Georgia","B19013_001",35718,2489
"415","13057","Cherokee County, Georgia","B19013_001",75477,1920
"416","13059","Clarke County, Georgia","B19013_001",34557,1564
"417","13061","Clay County, Georgia","B19013_001",23315,4341
"418","13063","Clayton County, Georgia","B19013_001",44106,1280
"419","13065","Clinch County, Georgia","B19013_001",21838,6556
"420","13067","Cobb County, Georgia","B19013_001",72004,1128
"421","13069","Coffee County, Georgia","B19013_001",36572,1549
"422","13071","Colquitt County, Georgia","B19013_001",34503,1794
"423","13073","Columbia County, Georgia","B19013_001",74162,1661
"424","13075","Cook County, Georgia","B19013_001",35539,3615
"425","13077","Coweta County, Georgia","B19013_001",67570,1607
"426","13079","Crawford County, Georgia","B19013_001",41032,5046
"427","13081","Crisp County, Georgia","B19013_001",33194,3700
"428","13083","Dade County, Georgia","B19013_001",43163,4466
"429","13085","Dawson County, Georgia","B19013_001",62284,5862
"430","13087","Decatur County, Georgia","B19013_001",36934,3234
"431","13089","DeKalb County, Georgia","B19013_001",55876,865
"432","13091","Dodge County, Georgia","B19013_001",35290,2856
"433","13093","Dooly County, Georgia","B19013_001",33389,5181
"434","13095","Dougherty County, Georgia","B19013_001",34541,1950
"435","13097","Douglas County, Georgia","B19013_001",59333,2092
"436","13099","Early County, Georgia","B19013_001",29493,5666
"437","13101","Echols County, Georgia","B19013_001",34315,3790
"438","13103","Effingham County, Georgia","B19013_001",64279,3102
"439","13105","Elbert County, Georgia","B19013_001",35207,3455
"440","13107","Emanuel County, Georgia","B19013_001",33089,3041
"441","13109","Evans County, Georgia","B19013_001",38736,4754
"442","13111","Fannin County, Georgia","B19013_001",43344,5020
"443","13113","Fayette County, Georgia","B19013_001",84861,3591
"444","13115","Floyd County, Georgia","B19013_001",46096,2012
"445","13117","Forsyth County, Georgia","B19013_001",96445,2452
"446","13119","Franklin County, Georgia","B19013_001",39246,4427
"447","13121","Fulton County, Georgia","B19013_001",61336,792
"448","13123","Gilmer County, Georgia","B19013_001",46211,3104
"449","13125","Glascock County, Georgia","B19013_001",45273,4977
"450","13127","Glynn County, Georgia","B19013_001",47546,2169
"451","13129","Gordon County, Georgia","B19013_001",43452,2229
"452","13131","Grady County, Georgia","B19013_001",39462,3389
"453","13133","Greene County, Georgia","B19013_001",45069,3751
"454","13135","Gwinnett County, Georgia","B19013_001",64496,804
"455","13137","Habersham County, Georgia","B19013_001",44474,1781
"456","13139","Hall County, Georgia","B19013_001",55622,1940
"457","13141","Hancock County, Georgia","B19013_001",29268,2293
"458","13143","Haralson County, Georgia","B19013_001",43663,3367
"459","13145","Harris County, Georgia","B19013_001",69539,6381
"460","13147","Hart County, Georgia","B19013_001",41216,2612
"461","13149","Heard County, Georgia","B19013_001",44897,3468
"462","13151","Henry County, Georgia","B19013_001",64752,1733
"463","13153","Houston County, Georgia","B19013_001",55965,2162
"464","13155","Irwin County, Georgia","B19013_001",34677,6022
"465","13157","Jackson County, Georgia","B19013_001",57999,2894
"466","13159","Jasper County, Georgia","B19013_001",42067,3363
"467","13161","Jeff Davis County, Georgia","B19013_001",37267,3563
"468","13163","Jefferson County, Georgia","B19013_001",29640,1657
"469","13165","Jenkins County, Georgia","B19013_001",27197,4924
"470","13167","Johnson County, Georgia","B19013_001",36423,4737
"471","13169","Jones County, Georgia","B19013_001",55110,5523
"472","13171","Lamar County, Georgia","B19013_001",41157,4775
"473","13173","Lanier County, Georgia","B19013_001",31109,5468
"474","13175","Laurens County, Georgia","B19013_001",35202,1689
"475","13177","Lee County, Georgia","B19013_001",65018,3516
"476","13179","Liberty County, Georgia","B19013_001",43493,1738
"477","13181","Lincoln County, Georgia","B19013_001",37711,6081
"478","13183","Long County, Georgia","B19013_001",53083,4971
"479","13185","Lowndes County, Georgia","B19013_001",39911,1705
