"","GEOID","County","Adult Population with Bachlors Degree Estimate","Adult Population with Bachlors Degree 90% Confidence Interval","Adult Population Estimate","Adult Population 90% Confidence Interval","Median Household Income Estimate","Median Household Income 90% Confidence Interval","PCT_Degree"
"405","13035","Butts County, Georgia",1169,216,16454,232,39655,2735,0.0710465540294153
"406","13037","Calhoun County, Georgia",290,74,4864,81,29617,2794,0.0596217105263158
"407","13039","Camden County, Georgia",4836,499,32402,142,53687,1418,0.149250046293439
"408","13043","Candler County, Georgia",681,145,7228,110,33125,4183,0.0942169341449917
"409","13045","Carroll County, Georgia",8691,794,71749,195,46844,1697,0.121130608092099
"410","13047","Catoosa County, Georgia",6169,569,45081,203,54537,1845,0.136842572258823
"411","13049","Charlton County, Georgia",250,105,8975,389,43257,6511,0.0278551532033426
"412","13051","Chatham County, Georgia",38595,1486,189667,67,52215,1310,0.203488218825626
"413","13053","Chattahoochee County, Georgia",1224,145,4948,172,46096,6130,0.247372675828618
"414","13055","Chattooga County, Georgia",1015,194,17190,115,35718,2489,0.0590459569517161
"415","13057","Cherokee County, Georgia",38336,1448,156284,220,75477,1920,0.245297023367715
"416","13059","Clarke County, Georgia",14124,643,68176,66,34557,1564,0.20716967847923
"417","13061","Clay County, Georgia",61,34,2063,164,23315,4341,0.0295685894328648
"418","13063","Clayton County, Georgia",21663,1302,168512,125,44106,1280,0.128554642992784
"419","13065","Clinch County, Georgia",335,131,4475,168,21838,6556,0.0748603351955307
"420","13067","Cobb County, Georgia",145159,2647,490883,118,72004,1128,0.295709975696856
"421","13069","Coffee County, Georgia",2373,340,27849,108,36572,1549,0.0852095227835829
"422","13071","Colquitt County, Georgia",2089,297,29544,96,34503,1794,0.0707080963985919
"423","13073","Columbia County, Georgia",20098,1029,94536,183,74162,1661,0.212596259625963
"424","13075","Cook County, Georgia",1048,200,11247,77,35539,3615,0.0931804036631991
"425","13077","Coweta County, Georgia",18032,883,91386,59,67570,1607,0.197316875670234
"426","13079","Crawford County, Georgia",652,207,8781,129,41032,5046,0.0742512242341419
"427","13081","Crisp County, Georgia",1286,247,15148,95,33194,3700,0.0848956958014259
"428","13083","Dade County, Georgia",1013,238,11143,105,43163,4466,0.0909090909090909
"429","13085","Dawson County, Georgia",3226,478,16644,133,62284,5862,0.193823600096131
"430","13087","Decatur County, Georgia",1447,227,17863,79,36934,3234,0.0810054302188882
"431","13089","DeKalb County, Georgia",121254,2385,497255,123,55876,865,0.24384671848448
"432","13091","Dodge County, Georgia",1261,276,14874,205,35290,2856,0.0847788086594057
"433","13093","Dooly County, Georgia",675,201,10097,105,33389,5181,0.0668515400614044
"434","13095","Dougherty County, Georgia",6848,565,58166,145,34541,1950,0.117732008389781
"435","13097","Douglas County, Georgia",14692,1004,90072,93,59333,2092,0.163113953281819
"436","13099","Early County, Georgia",699,154,6965,30,29493,5666,0.100358937544867
"437","13101","Echols County, Georgia",127,75,2631,171,34315,3790,0.048270619536298
"438","13103","Effingham County, Georgia",4802,459,36802,116,64279,3102,0.130482039019618
"439","13105","Elbert County, Georgia",856,204,13469,181,35207,3455,0.0635533447174994
"440","13107","Emanuel County, Georgia",1001,151,14815,73,33089,3041,0.0675666554168073
"441","13109","Evans County, Georgia",714,144,7155,138,38736,4754,0.09979035639413
"442","13111","Fannin County, Georgia",2216,307,18656,74,43344,5020,0.118782161234991
"443","13113","Fayette County, Georgia",21811,1013,74267,167,84861,3591,0.293683601061037
"444","13115","Floyd County, Georgia",7793,623,63693,165,46096,2012,0.122352534815443
"445","13117","Forsyth County, Georgia",45515,1072,136116,96,96445,2452,0.33438390784331
"446","13119","Franklin County, Georgia",1243,203,15254,104,39246,4427,0.0814868231283598
"447","13121","Fulton County, Georgia",201680,3560,674996,106,61336,792,0.298786955774553
"448","13123","Gilmer County, Georgia",2494,418,21559,153,46211,3104,0.115682545572615
"449","13125","Glascock County, Georgia",148,46,2067,28,45273,4977,0.0716013546202225
"450","13127","Glynn County, Georgia",10305,840,57587,178,47546,2169,0.178946637261882
"451","13129","Gordon County, Georgia",3033,424,37612,152,43452,2229,0.0806391577156227
"452","13131","Grady County, Georgia",1418,242,16885,236,39462,3389,0.083979863784424
"453","13133","Greene County, Georgia",1733,203,12443,41,45069,3751,0.139275094430604
"454","13135","Gwinnett County, Georgia",131038,3113,562979,120,64496,804,0.232758237873882
"455","13137","Habersham County, Georgia",2982,388,29498,162,44474,1781,0.10109159943047
"456","13139","Hall County, Georgia",18303,873,124695,78,55622,1940,0.146782148442199
"457","13141","Hancock County, Georgia",330,122,6709,150,29268,2293,0.0491876583693546
"458","13143","Haralson County, Georgia",1533,291,19468,121,43663,3367,0.0787446065337991
"459","13145","Harris County, Georgia",3813,434,23065,135,69539,6381,0.165315412963364
"460","13147","Hart County, Georgia",1502,257,18073,210,41216,2612,0.0831073977756875
"461","13149","Heard County, Georgia",488,98,7914,59,44897,3468,0.0616628759160981
"462","13151","Henry County, Georgia",24882,1431,138840,162,64752,1733,0.179213483146067
"463","13153","Houston County, Georgia",15147,1031,97589,209,55965,2162,0.155212165305516
"464","13155","Irwin County, Georgia",410,153,6360,117,34677,6022,0.0644654088050314
"465","13157","Jackson County, Georgia",5506,556,42968,223,57999,2894,0.128141873021784
"466","13159","Jasper County, Georgia",539,145,9416,135,42067,3363,0.0572429906542056
"467","13161","Jeff Davis County, Georgia",579,198,9716,149,37267,3563,0.0595924248662001
"468","13163","Jefferson County, Georgia",805,186,10706,77,29640,1657,0.0751914814122922
"469","13165","Jenkins County, Georgia",294,119,5838,349,27197,4924,0.0503597122302158
"470","13167","Johnson County, Georgia",418,138,6970,86,36423,4737,0.0599713055954089
"471","13169","Jones County, Georgia",2393,324,19462,137,55110,5523,0.122957558318775
"472","13171","Lamar County, Georgia",1499,274,11670,96,41157,4775,0.128449014567266
"473","13173","Lanier County, Georgia",724,231,6829,219,31109,5468,0.10601845072485
"474","13175","Laurens County, Georgia",2645,309,31623,130,35202,1689,0.0836416532270816
